,5e-10,7e-10,1e-09,2e-09,5e-09,8e-09
370,0.8925649710702349,0.8956969175392804,0.8916711248028508,0.8922846492035321,0.8938562633924125,0.8916763777024146
390,0.8906305916889972,0.8902332999718024,0.8907277511247387,0.889915700088201,0.891209499989597,0.8938496978358885
410,0.8930639485788294,0.8928160559321532,0.8912635312876085,0.8913013281254605,0.8929782024569226,0.8923774790784156
430,0.8914238643584385,0.8944977210882352,0.8945196772496959,0.8909446423252507,0.8920647477343261,0.8905896645923443
450,0.894152212348792,0.8920528865756223,0.8938946562292436,0.8945119032075554,0.8924139070585926,0.890988111710123
