,5e-05,0.0001,0.0002,0.0005,0.0007,0.001
60,0.8851236493068135,0.8772385265642975,0.8782606984563506,0.8729913802061277,0.8818091592448645,0.877976921472368
80,0.8840710672758942,0.8810979759120765,0.8801582377282939,0.8793275437686267,0.8795448077042345,0.8761592723938298
100,0.8852639229834146,0.8836081648452312,0.8849633575574114,0.8834731270852907,0.8853440132348551,0.8826176512282722
120,0.8861178063742174,0.8827597585954747,0.8858570564956341,0.8830810526830533,0.8835248767754529,0.8857230252835152
130,0.8828673009407239,0.8864535261138338,0.8850218516688297,0.8861880872298264,0.8895479182737016,0.8842466348901059
